f_grid,d_grid,pwm_izq,pwm_der
40.0,135.0,85.0,-3.0
40.0,155.0,179.0,17.0
40.0,160.0,66.0,80.0
40.0,175.0,67.0,75.0
40.0,180.0,59.0,56.0
40.0,190.0,60.0,62.0
40.0,200.0,70.0,43.5
40.0,215.0,65.0,67.0
40.0,220.0,115.0,103.0
40.0,265.0,70.0,58.0
45.0,-0.0,30.233333333333334,21.833333333333332
45.0,5.0,67.40677966101696,83.10169491525424
45.0,10.0,69.50256410256411,86.26153846153846
45.0,15.0,82.00436681222708,85.8122270742358
45.0,20.0,81.23529411764706,88.80392156862744
45.0,25.0,84.75,72.0
45.0,30.0,39.75,70.5
45.0,35.0,177.0,-31.0
45.0,40.0,34.75,66.25
45.0,45.0,115.0,-40.6
45.0,50.0,116.83333333333333,-32.166666666666664
45.0,55.0,94.64285714285714,16.071428571428573
45.0,60.0,95.64285714285714,60.642857142857146
45.0,65.0,96.66666666666667,1.3333333333333333
45.0,70.0,113.33333333333333,96.66666666666667
45.0,75.0,87.14285714285714,75.42857142857143
45.0,80.0,136.66666666666666,86.66666666666667
45.0,85.0,85.6470588235294,58.8235294117647
45.0,90.0,78.35,52.25
45.0,105.0,80.0,126.0
45.0,120.0,87.2,42.4
45.0,125.0,91.85714285714286,71.57142857142857
45.0,130.0,65.0,125.0
45.0,155.0,164.0,72.0
45.0,160.0,69.66666666666667,62.333333333333336
45.0,190.0,-1.6666666666666667,101.66666666666667
45.0,220.0,17.0,41.0
45.0,225.0,53.0,65.0
45.0,230.0,95.0,81.0
45.0,265.0,47.0,55.0
45.0,365.0,53.0,65.0
50.0,-0.0,67.4,17.8
50.0,5.0,65.096,71.08
50.0,10.0,67.2168905950096,76.01535508637237
50.0,15.0,78.64940239043824,77.96414342629483
50.0,20.0,70.84057971014492,83.44927536231884
50.0,25.0,64.6086956521739,62.08695652173913
50.0,30.0,85.125,61.875
50.0,35.0,63.333333333333336,68.66666666666667
50.0,40.0,85.5,29.5
50.0,45.0,0.0,85.0
50.0,60.0,129.88888888888889,0.7777777777777778
50.0,65.0,61.333333333333336,35.333333333333336
50.0,70.0,106.0,63.2
50.0,75.0,102.4,75.6
50.0,80.0,103.1923076923077,52.96153846153846
50.0,85.0,101.2,78.4
50.0,90.0,115.0,101.66666666666667
50.0,100.0,174.0,48.0
50.0,105.0,49.0,173.0
50.0,110.0,173.0,11.0
50.0,115.0,66.0,62.666666666666664
50.0,120.0,70.0,52.666666666666664
50.0,130.0,180.0,4.0
50.0,150.0,122.0,59.0
50.0,155.0,67.0,69.0
50.0,175.0,67.0,69.0
50.0,180.0,67.0,69.0
50.0,185.0,67.0,69.0
50.0,190.0,179.0,3.0
50.0,290.0,173.0,11.0
55.0,-0.0,22.866666666666667,35.266666666666666
55.0,5.0,60.50515463917526,95.30927835051547
55.0,10.0,60.265415549597854,66.29222520107238
55.0,15.0,77.80890052356021,82.53664921465969
55.0,20.0,80.29824561403508,79.98245614035088
55.0,25.0,78.04545454545455,63.59090909090909
55.0,30.0,107.4,94.2
55.0,40.0,62.666666666666664,123.33333333333333
55.0,45.0,90.0,-90.0
55.0,55.0,69.0,33.0
55.0,60.0,146.1,6.7
55.0,65.0,179.0,-13.0
55.0,70.0,77.0,113.0
55.0,75.0,121.64285714285714,28.071428571428573
55.0,80.0,109.66666666666667,-5.666666666666667
55.0,85.0,80.0,116.0
55.0,95.0,72.0,12.0
55.0,100.0,143.0,27.0
55.0,110.0,135.25,-25.75
55.0,115.0,-150.0,150.0
55.0,140.0,165.0,-82.0
55.0,150.0,163.0,-57.0
55.0,175.0,173.0,11.0
55.0,180.0,53.0,45.0
55.0,220.0,150.0,-150.0
55.0,235.0,43.0,17.0
55.0,250.0,150.0,-150.0
55.0,275.0,176.0,36.0
55.0,285.0,179.0,13.0
55.0,290.0,102.5,-56.5
55.0,320.0,150.0,-150.0
60.0,-0.0,34.5,43.5
60.0,5.0,37.115979381443296,73.02319587628865
60.0,10.0,80.16976127320955,86.74005305039788
60.0,15.0,83.45888324873097,81.04873096446701
60.0,20.0,87.08888888888889,90.37777777777778
60.0,25.0,63.84615384615385,85.84615384615384
60.0,30.0,56.15384615384615,83.07692307692308
60.0,35.0,40.0,94.4
60.0,40.0,83.23529411764706,37.94117647058823
60.0,45.0,40.7,16.7
60.0,50.0,79.15789473684211,-0.5263157894736842
60.0,60.0,83.77272727272727,18.5
60.0,65.0,160.25,10.75
60.0,70.0,134.65,31.85
60.0,75.0,99.2,83.6
60.0,80.0,179.5,-8.5
60.0,85.0,108.0,44.0
60.0,90.0,147.0,18.0
60.0,100.0,101.0,30.0
60.0,105.0,129.0,1.0
60.0,110.0,151.66666666666666,20.333333333333332
60.0,120.0,134.5,-35.0
60.0,125.0,-108.0,54.0
60.0,140.0,165.5,28.5
